               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11118,            0.042647,            0.053244,             0.85451,            0.085236,             0.07652,            0.023005,             0.08982,            0.042796,            0.038662,           0.0032932,           0.0032932,            0.070361
                   1,            0.093819,            0.034751,            0.036987,             0.71128,             0.18578,              0.1281,            0.042582,            0.089752,            0.039729,             0.03382,           0.0065609,           0.0065609,            0.040296
                   2,             0.08648,            0.034553,            0.032948,             0.63338,             0.23888,             0.23897,             0.10211,            0.076038,            0.036253,            0.029525,           0.0097626,           0.0097626,            0.010164
                   3,            0.078422,            0.033456,            0.029158,             0.64035,             0.29631,             0.29397,             0.11506,            0.073875,            0.034633,            0.026001,            0.009703,            0.009703,            0.009703
                   4,            0.072948,            0.033751,            0.026514,             0.64793,             0.33444,             0.35088,              0.1571,            0.068424,            0.035067,            0.024279,            0.009703,            0.009703,            0.009703
                   5,            0.070711,             0.03287,            0.025024,             0.74248,             0.37313,             0.44045,             0.21461,            0.065689,            0.034163,            0.022824,            0.009604,            0.009604,            0.009604
                   6,            0.068762,            0.032581,            0.023591,             0.60979,             0.41491,              0.4512,             0.23924,            0.063326,            0.033439,            0.021872,            0.009505,            0.009505,            0.009505
                   7,            0.066181,             0.03165,            0.022759,             0.67162,             0.38904,             0.44766,             0.23805,             0.06267,             0.03269,            0.021202,            0.009406,            0.009406,            0.009406
                   8,            0.066271,            0.032226,            0.022093,             0.65156,             0.46437,             0.52622,             0.27897,            0.061842,            0.032983,            0.020743,            0.009307,            0.009307,            0.009307
                   9,            0.065421,            0.031109,            0.021423,             0.72664,             0.51869,             0.59155,             0.34053,            0.061096,            0.032859,             0.01997,            0.009208,            0.009208,            0.009208
                  10,            0.064095,            0.031148,            0.021152,             0.77953,             0.55407,             0.59406,              0.3461,            0.059628,             0.03169,            0.019295,            0.009109,            0.009109,            0.009109
                  11,            0.063656,            0.030045,            0.020492,             0.81731,             0.57409,             0.62227,             0.36525,            0.059846,            0.031859,            0.018819,             0.00901,             0.00901,             0.00901
                  12,            0.062722,            0.030859,            0.020144,              0.7841,             0.58058,             0.61997,             0.36404,            0.059141,            0.031246,            0.018835,            0.008911,            0.008911,            0.008911
                  13,            0.062618,            0.029993,            0.019867,             0.76401,             0.59966,             0.62144,              0.3828,            0.058363,            0.031058,            0.018567,            0.008812,            0.008812,            0.008812
                  14,              0.0616,            0.030128,            0.019554,             0.79513,             0.61455,             0.64462,             0.38449,            0.057424,            0.031465,            0.018005,            0.008713,            0.008713,            0.008713
                  15,            0.061239,            0.030714,            0.019237,             0.81338,             0.62934,              0.6649,              0.3921,            0.058071,            0.031082,            0.017843,            0.008614,            0.008614,            0.008614
                  16,            0.060698,            0.029498,            0.019018,             0.80745,             0.62278,              0.6517,             0.38361,            0.058357,            0.031072,             0.01784,            0.008515,            0.008515,            0.008515
                  17,            0.060927,            0.029191,            0.018854,             0.76203,             0.63415,             0.65352,             0.39261,            0.056971,            0.030972,            0.017871,            0.008416,            0.008416,            0.008416
                  18,            0.060011,            0.030032,            0.018819,             0.78285,              0.6426,             0.66775,             0.41773,            0.055827,            0.030493,            0.017507,            0.008317,            0.008317,            0.008317
                  19,            0.059932,            0.029747,             0.01851,             0.82178,             0.60333,              0.6593,             0.38796,            0.057043,            0.030839,            0.017372,            0.008218,            0.008218,            0.008218
                  20,            0.059838,             0.02957,            0.018511,             0.83968,              0.6428,             0.67801,             0.42084,             0.05573,            0.030626,            0.017171,            0.008119,            0.008119,            0.008119
                  21,            0.059646,            0.029681,            0.018245,             0.79073,              0.6314,              0.6772,             0.41501,            0.055527,            0.030145,             0.01694,             0.00802,             0.00802,             0.00802
                  22,            0.058742,            0.029831,            0.018117,             0.82608,             0.64509,              0.6864,             0.42326,            0.055307,            0.030023,             0.01684,            0.007921,            0.007921,            0.007921
                  23,            0.059092,            0.029998,            0.017858,              0.8275,             0.65634,             0.68774,             0.41776,            0.055131,            0.030056,             0.01679,            0.007822,            0.007822,            0.007822
                  24,            0.059255,             0.02999,            0.017975,             0.80374,             0.65599,              0.6957,             0.43536,            0.054519,            0.029747,            0.016636,            0.007723,            0.007723,            0.007723
                  25,            0.058234,             0.02917,            0.017894,             0.83888,             0.64907,             0.70411,             0.43669,            0.054441,            0.030149,            0.016688,            0.007624,            0.007624,            0.007624
                  26,            0.057724,            0.027943,            0.017729,             0.83109,             0.64856,             0.68342,             0.42678,            0.054462,            0.029899,            0.016819,            0.007525,            0.007525,            0.007525
                  27,            0.057724,            0.028773,            0.017425,             0.79303,             0.66576,             0.70414,              0.4378,            0.054189,            0.029822,            0.016465,            0.007426,            0.007426,            0.007426
                  28,            0.057421,            0.028496,            0.017336,             0.84495,             0.66871,             0.72332,             0.45605,            0.054248,            0.029627,            0.016261,            0.007327,            0.007327,            0.007327
                  29,            0.057148,            0.028418,            0.017357,             0.83873,             0.65374,             0.70554,             0.43603,            0.053776,            0.029683,            0.016226,            0.007228,            0.007228,            0.007228
                  30,            0.057159,            0.028867,            0.017274,             0.84405,             0.65412,             0.71972,             0.44621,            0.053551,            0.029719,            0.016217,            0.007129,            0.007129,            0.007129
